id,starting_time,model_van,num_packages,delivery_time
1,2016/04/14 20:53:00,model_A,3,448
2,2016/05/30 23:12:00,model_B,1,784
3,2016/03/03 11:54:00,model_B,1,844
4,2016/05/02 12:34:00,model_A,1,2076
5,2016/03/02 15:53:00,model_A,1,1289
6,2016/05/10 18:52:00,model_B,1,902
7,2016/04/15 14:54:00,model_B,2,803
8,2016/05/05 21:19:00,model_B,1,491
9,2016/06/11 10:56:00,model_A,1,681
10,2016/02/10 23:51:00,model_A,5,974
11,2016/03/14 06:56:00,model_B,1,748
12,2016/01/18 12:54:00,model_A,1,952
13,2016/03/31 20:54:00,model_A,2,1101
14,2016/03/19 19:52:00,model_A,1,588
15,2016/05/16 20:59:00,model_A,1,478
16,2016/03/04 18:54:00,model_B,1,200
17,2016/04/09 10:52:00,model_A,2,247
18,2016/05/29 10:53:00,model_A,2,727
19,2016/02/13 20:55:00,model_B,2,1030
20,2016/01/18 10:54:00,model_A,1,1038
21,2016/06/03 23:53:00,model_B,1,848
22,2016/05/30 02:19:00,model_B,1,1028
23,2016/05/06 08:00:00,model_B,1,2750
24,2016/02/08 14:51:00,model_A,1,889
25,2016/05/31 09:55:00,model_A,3,1108
26,2016/04/16 00:55:00,model_B,3,1228
27,2016/06/15 06:56:00,model_B,1,194
28,2016/06/08 18:51:00,model_A,6,654
29,2016/03/05 10:55:00,model_B,1,505
30,2016/02/28 01:56:00,model_A,6,1073
31,2016/06/11 02:54:00,model_A,2,707
32,2016/01/30 20:54:00,model_A,1,600
33,2016/03/06 09:54:00,model_B,1,653
34,2016/03/03 09:51:00,model_A,1,236
35,2016/04/28 22:54:00,model_B,1,1433
36,2016/06/13 08:52:00,model_A,3,1431
37,2016/02/24 23:24:00,model_A,1,604
38,2016/04/24 02:55:00,model_A,1,734
39,2016/02/12 14:52:00,model_B,1,255
40,2016/03/27 09:53:00,model_B,1,371
41,2016/05/10 22:52:00,model_B,1,555
42,2016/05/15 10:59:00,model_A,1,347
43,2016/03/03 15:55:00,model_A,1,229
44,2016/03/22 17:56:00,model_A,1,955
45,2016/04/04 09:56:00,model_B,1,597
46,2016/02/26 05:52:00,model_A,1,687
47,2016/01/22 18:56:00,model_A,1,320
48,2016/06/09 18:55:00,model_B,1,2593
49,2016/04/28 14:53:00,model_B,1,1206
50,2016/01/22 23:04:00,model_A,1,248
51,2016/06/13 11:54:00,model_B,1,1712
52,2016/02/05 09:00:00,model_B,1,269
53,2016/06/08 00:53:00,model_A,1,785
54,2016/06/03 06:54:00,model_A,5,430
55,2016/06/04 20:54:00,model_B,1,677
56,2016/04/15 18:52:00,model_B,1,1780
57,2016/05/29 19:56:00,model_B,1,1536
58,2016/05/17 12:57:00,model_A,1,196
59,2016/03/14 14:51:00,model_B,1,852
60,2016/01/28 21:53:00,model_A,2,677
61,2016/04/30 22:54:00,model_B,1,973
62,2016/02/18 09:52:00,model_B,2,427
63,2016/02/27 03:51:00,model_B,1,1975
64,2016/03/01 20:52:00,model_B,1,201
65,2016/03/20 21:22:00,model_B,1,359
66,2016/06/04 14:53:00,model_B,1,527
67,2016/04/11 00:53:00,model_B,1,607
68,2016/05/06 10:02:00,model_B,2,708
69,2016/02/29 05:55:00,model_B,1,106
70,2016/03/24 12:51:00,model_B,1,1706
71,2016/02/23 13:53:00,model_B,1,598
72,2016/03/26 03:55:00,model_B,1,817
73,2016/04/26 12:55:00,model_B,1,374
74,2016/02/05 01:55:00,model_A,1,304
75,2016/05/22 17:51:00,model_B,2,488
76,2016/01/16 11:53:00,model_B,1,267
77,2016/01/30 08:52:00,model_A,1,256
78,2016/02/01 17:53:00,model_A,5,2603
79,2016/02/07 17:36:00,model_A,1,898
80,2016/03/30 06:53:00,model_B,1,238
81,2016/02/03 19:56:00,model_B,1,374
82,2016/03/31 11:56:00,model_A,6,222
83,2016/02/16 09:22:00,model_B,1,982
84,2016/04/10 07:15:00,model_A,1,450
85,2016/03/12 20:55:00,model_B,1,1202
86,2016/04/11 20:55:00,model_B,1,291
87,2016/02/28 03:55:00,model_A,1,584
88,2016/05/12 10:54:00,model_A,2,386
89,2016/05/17 06:55:00,model_A,1,410
90,2016/05/10 22:54:00,model_A,5,855
91,2016/06/07 07:56:00,model_A,1,324
92,2016/06/10 15:55:00,model_A,2,746
93,2016/05/11 17:52:00,model_A,1,1144
94,2016/02/15 11:54:00,model_A,3,631
95,2016/05/09 08:53:00,model_B,1,758
96,2016/03/24 19:55:00,model_A,5,1662
97,2016/01/16 02:03:00,model_B,1,468
98,2016/02/24 11:54:00,model_B,1,1156
99,2016/03/05 21:17:00,model_B,2,1024
100,2016/05/28 16:53:00,model_A,1,1233
101,2016/04/04 18:56:00,model_B,1,1144
102,2016/06/02 22:54:00,model_B,1,980
103,2016/05/09 21:54:00,model_B,2,1144
104,2016/03/18 14:54:00,model_A,1,1088
105,2016/02/28 01:55:00,model_B,1,1449
106,2016/02/28 18:54:00,model_A,2,1570
107,2016/04/11 07:52:00,model_A,1,395
108,2016/05/03 13:53:00,model_B,1,482
109,2016/02/16 10:52:00,model_B,1,256
110,2016/05/23 12:56:00,model_A,1,493
111,2016/03/28 20:55:00,model_A,1,531
112,2016/03/17 23:51:00,model_A,6,440
113,2016/04/05 08:56:00,model_B,1,383
114,2016/05/07 02:33:00,model_A,5,860
115,2016/04/05 16:59:00,model_A,1,1086
116,2016/05/24 16:53:00,model_A,1,2047
117,2016/02/28 14:52:00,model_B,1,889
118,2016/03/17 12:52:00,model_A,1,223
119,2016/02/02 10:54:00,model_B,1,306
120,2016/03/28 10:28:00,model_A,1,1051
121,2016/03/19 13:52:00,model_A,1,1562
122,2016/01/16 14:56:00,model_A,6,214
123,2016/05/02 11:56:00,model_A,2,619
124,2016/04/03 19:55:00,model_A,5,788
125,2016/05/17 22:59:00,model_A,1,632
126,2016/05/06 07:32:00,model_A,5,691
127,2016/05/02 14:55:00,model_A,1,364
128,2016/05/22 08:54:00,model_B,1,312
129,2016/02/02 22:04:00,model_A,1,576
130,2016/06/01 17:55:00,model_A,1,1249
131,2016/05/16 10:56:00,model_B,1,622
132,2016/05/31 10:53:00,model_A,1,1711
133,2016/01/16 03:52:00,model_A,2,592
134,2016/06/08 12:52:00,model_B,1,645
135,2016/03/13 18:52:00,model_A,1,307
136,2016/04/20 06:54:00,model_A,1,987
137,2016/03/31 23:52:00,model_B,2,2271
138,2016/02/28 04:55:00,model_A,5,285
139,2016/03/28 07:30:00,model_A,1,2218
140,2016/02/12 11:52:00,model_B,1,1168
141,2016/04/11 19:56:00,model_B,2,916
142,2016/02/07 03:17:00,model_B,3,256
143,2016/02/16 15:07:00,model_B,2,1073
144,2016/05/09 23:54:00,model_A,1,457
145,2016/05/15 01:58:00,model_B,1,754
146,2016/02/04 08:31:00,model_A,1,535
147,2016/02/25 22:54:00,model_A,1,1380
148,2016/01/18 16:52:00,model_B,1,1192
149,2016/04/13 23:55:00,model_B,1,385
150,2016/06/11 12:53:00,model_B,1,1029
151,2016/05/25 19:52:00,model_B,1,1043
152,2016/03/18 15:53:00,model_B,1,2355
153,2016/01/21 20:53:00,model_A,2,192
154,2016/02/04 12:56:00,model_B,3,1547
155,2016/05/21 13:53:00,model_A,1,1463
156,2016/02/25 00:09:00,model_B,1,1096
157,2016/03/26 01:55:00,model_B,1,742
158,2016/04/29 11:53:00,model_A,1,500
159,2016/03/24 22:52:00,model_B,2,570
160,2016/05/15 21:55:00,model_A,5,791
161,2016/05/10 13:55:00,model_B,1,755
162,2016/06/12 10:52:00,model_A,1,311
163,2016/02/03 19:52:00,model_B,1,942
164,2016/03/15 21:55:00,model_A,2,681
165,2016/04/20 21:56:00,model_B,1,173
166,2016/02/10 21:54:00,model_A,1,751
167,2016/04/10 02:27:00,model_A,5,1296
168,2016/04/06 21:51:00,model_B,2,750
169,2016/01/15 19:54:00,model_A,1,435
170,2016/05/05 14:32:00,model_B,1,852
171,2016/06/03 10:53:00,model_A,5,2192
172,2016/02/01 19:54:00,model_A,2,558
173,2016/03/04 19:51:00,model_B,1,1089
174,2016/02/23 14:25:00,model_B,2,2026
175,2016/05/10 09:53:00,model_B,1,328
176,2016/02/07 13:40:00,model_B,1,1286
177,2016/03/02 17:30:00,model_B,3,449
178,2016/02/16 16:53:00,model_B,1,540
179,2016/03/24 12:53:00,model_A,1,304
180,2016/06/08 18:55:00,model_A,1,259
181,2016/03/19 23:54:00,model_B,2,1070
182,2016/01/21 21:52:00,model_B,1,1107
183,2016/04/17 19:51:00,model_B,1,197
184,2016/03/15 09:54:00,model_B,1,129
185,2016/06/02 22:55:00,model_A,1,351
186,2016/01/22 09:51:00,model_B,1,937
187,2016/02/07 15:36:00,model_A,2,516
188,2016/04/16 17:56:00,model_B,1,280
189,2016/03/20 12:54:00,model_B,2,1364
190,2016/02/13 08:51:00,model_B,1,615
191,2016/04/28 23:55:00,model_A,1,401
192,2016/04/06 21:55:00,model_A,1,431
193,2016/02/22 10:53:00,model_B,1,397
194,2016/02/24 23:52:00,model_A,1,953
195,2016/01/21 10:56:00,model_B,1,272
196,2016/03/03 18:55:00,model_A,1,714
197,2016/06/10 17:54:00,model_A,2,257
198,2016/04/18 22:53:00,model_A,5,869
199,2016/02/18 10:55:00,model_A,1,1016
200,2016/01/30 18:54:00,model_A,1,608
201,2016/04/30 21:53:00,model_B,1,1154
202,2016/04/29 14:52:00,model_B,1,1107
203,2016/05/06 23:48:00,model_B,3,508
204,2016/04/05 15:41:00,model_A,1,187
205,2016/04/21 14:53:00,model_A,2,274
206,2016/06/01 03:52:00,model_A,4,1744
207,2016/03/06 21:38:00,model_B,1,319
208,2016/04/02 16:54:00,model_B,1,221
209,2016/04/09 19:54:00,model_A,1,1161
210,2016/02/26 19:53:00,model_B,2,863
211,2016/05/06 19:06:00,model_B,1,1025
212,2016/05/13 17:55:00,model_B,1,330
213,2016/02/16 12:53:00,model_A,1,214
214,2016/03/18 00:54:00,model_A,1,1068
215,2016/04/09 02:54:00,model_B,1,864
216,2016/05/13 20:58:00,model_B,1,196
217,2016/05/02 07:53:00,model_A,2,729
218,2016/04/05 06:46:00,model_A,2,274
219,2016/05/03 21:56:00,model_A,2,564
220,2016/02/24 19:08:00,model_B,1,1296
221,2016/05/05 08:53:00,model_B,1,961
222,2016/02/05 18:13:00,model_B,1,857
223,2016/02/16 09:49:00,model_B,2,431
224,2016/05/01 18:55:00,model_A,1,458
225,2016/01/15 20:53:00,model_B,1,361
226,2016/04/30 18:52:00,model_B,1,161
227,2016/05/30 15:52:00,model_B,1,409
228,2016/01/22 06:55:00,model_A,5,172
229,2016/03/31 17:52:00,model_B,2,2384
230,2016/01/20 18:51:00,model_A,1,298
231,2016/04/21 15:55:00,model_A,3,422
232,2016/02/15 19:00:00,model_B,3,699
233,2016/01/29 21:54:00,model_B,2,907
234,2016/02/12 21:53:00,model_A,2,386
235,2016/03/16 19:51:00,model_A,2,399
236,2016/06/04 19:53:00,model_B,1,2076
237,2016/05/10 14:52:00,model_B,1,467
238,2016/02/16 18:52:00,model_B,1,248
239,2016/04/26 21:51:00,model_B,1,505
240,2016/03/18 12:55:00,model_A,1,591
241,2016/02/12 18:51:00,model_A,5,136
242,2016/03/12 15:54:00,model_A,1,359
243,2016/04/18 15:54:00,model_B,1,489
244,2016/02/01 12:52:00,model_B,1,758
245,2016/03/24 23:58:00,model_A,1,1232
246,2016/02/06 09:51:00,model_B,1,1522
247,2016/04/19 19:54:00,model_B,1,826
248,2016/02/23 12:52:00,model_A,1,2185
249,2016/04/15 06:53:00,model_A,2,542
250,2016/04/08 19:54:00,model_B,1,696
251,2016/01/26 20:53:00,model_B,1,243
252,2016/06/02 20:53:00,model_B,1,78
253,2016/05/09 19:53:00,model_A,5,974
254,2016/01/23 07:33:00,model_B,1,1107
255,2016/01/17 07:51:00,model_A,1,1680
256,2016/01/16 19:55:00,model_A,1,970
257,2016/02/08 18:55:00,model_A,5,1373
258,2016/03/19 11:51:00,model_A,1,157
259,2016/01/29 15:55:00,model_A,1,631
260,2016/02/25 15:54:00,model_B,1,719
261,2016/02/24 22:04:00,model_A,4,1079
262,2016/03/03 19:53:00,model_A,2,711
263,2016/05/08 08:54:00,model_A,5,562
264,2016/02/16 13:23:00,model_A,4,863
265,2016/05/20 06:53:00,model_B,1,1242
266,2016/03/05 19:48:00,model_B,1,1407
267,2016/01/26 22:51:00,model_B,1,1350
268,2016/03/17 11:53:00,model_A,1,212
269,2016/03/09 06:47:00,model_B,1,416
270,2016/04/19 06:54:00,model_B,1,1009
