id,wea_conditions,wea_temp,wea_dptemp,wea_humidity,wea_windspeed,wea_winddir,wea_visibility,wea_pressure,wea_precipitation,wea_fog,wea_rain,wea_snow
7322,Mostly_Cloudy,22.8,11.7,49,7.4,0,16.1,29.9,,No,No,No
5677,Clear,12.8,-2.8,34,0,0,16.1,29.9,,No,No,No
5269,Clear,16.7,-6.7,20,5.6,0,16.1,30.3,,No,No,No
7334,Overcast,9.4,7.2,86,13,70,16.1,29.8,0.8,No,No,No
3356,Light_Rain,11.7,10.6,93,5.6,0,4,29.9,1.8,No,Y,No
5794,Overcast,16.7,14.4,86,0,0,14.5,30.1,,No,No,No
7913,Overcast,2.2,-5.6,57,18.5,40,16.1,30,,No,No,No
4610,Overcast,10.6,2.8,59,5.6,0,16.1,29.8,0,No,No,No
380,Overcast,6.1,3.9,86,29.6,70,9.7,29.9,0.3,No,No,No
1914,Clear,16.7,-8.3,18,5.6,0,16.1,30,,No,No,No
6783,Haze,19.4,16.7,84,0,0,8,30.1,,No,No,No
7317,Clear,7.8,-2.8,47,13,60,16.1,30.4,,No,No,No
3777,Clear,21.1,7.8,42,9.3,0,16.1,30,,No,No,No
5657,Overcast,10.6,5.6,71,0,0,16.1,29.5,,No,No,No
5844,Scattered_Clouds,24.4,18.9,71,11.1,0,14.5,29.9,,No,No,No
2501,Clear,27.8,13.3,41,7.4,0,14.5,29.7,,No,No,No
4829,Light_Rain,11.1,9.4,89,9.3,100,4.8,29.7,1,No,Y,No
2842,Clear,15,7.2,60,0,0,16.1,29.9,,No,No,No
6488,Clear,13.9,5,55,0,0,16.1,30.2,,No,No,No
6235,Clear,31.1,17.8,45,11.1,170,11.3,30.1,,No,No,No
1873,Clear,21.7,15,66,5.6,0,16.1,30.1,,No,No,No
2960,Partly_Cloudy,-2.2,-13.3,43,7.4,0,16.1,30,,No,No,No
2985,Clear,18.9,-7.2,17,13,310,16.1,30,,No,No,No
4933,Clear,-1.7,-15.6,35,0,0,16.1,30.2,,No,No,No
6810,Mostly_Cloudy,3.3,-2.2,68,18.5,200,16.1,30.2,,No,No,No
730,Light_Rain,17.2,14.4,84,13,90,4.8,30.1,0,No,Y,No
695,Scattered_Clouds,17.2,7.8,54,9.3,10,16.1,29.9,,No,No,No
2905,Clear,6.1,-6.7,40,9.3,0,16.1,29.8,,No,No,No
1831,Clear,7.2,-14.4,20,7.4,10,16.1,30.1,,No,No,No
1376,Overcast,9.4,3.3,66,13,60,16.1,30.2,,No,No,No
3863,Partly_Cloudy,26.7,17.2,56,5.6,170,11.3,30,,No,No,No
5567,Clear,3.9,-5.6,50,13,290,16.1,29.9,,No,No,No
2255,Clear,23.9,3.3,26,5.6,70,16.1,30.2,,No,No,No
5050,Haze,12.8,10,83,9.3,0,8,29.7,,No,No,No
5448,Rain,18.9,17.8,93,5.6,0,1.6,29.7,1.3,No,Y,No
1975,Rain,20.6,19.4,93,5.6,0,2.4,29.9,1.8,No,Y,No
1235,Overcast,9.4,2.2,61,0,0,16.1,30.1,,No,No,No
1468,Partly_Cloudy,12.2,3.9,57,,0,16.1,30.1,,No,No,No
8101,Snow,-2.8,-5.6,81,11.1,70,0.8,30.4,0.3,No,No,Y
6516,Overcast,20.6,19.4,93,7.4,0,4,29.7,,No,No,No
2487,Light_Rain,9.4,2.2,61,9.3,30,14.5,30,0,No,Y,No
2356,Scattered_Clouds,6.7,-1.7,55,7.4,0,16.1,29.7,,No,No,No
3032,Clear,12.8,-2.8,34,0,0,16.1,29.9,,No,No,No
1723,Clear,28.3,13.3,39,5.6,0,14.5,30.1,,No,No,No
1826,Rain,18.9,17.8,93,5.6,0,1.6,29.7,1.3,No,Y,No
4336,Clear,21.7,5,34,13,50,16.1,30,,No,No,No
4653,Unknown,16,12,77,,0,,,,No,No,No
6674,Clear,18.9,5,40,5.6,0,16.1,30.1,,No,No,No
7253,Scattered_Clouds,22.2,16.1,68,9.3,80,14.5,30.1,,No,No,No
5817,Clear,9.4,1.7,59,18.5,70,16.1,30.1,,No,No,No
6204,Overcast,17.8,16.1,90,0,0,4.8,30.1,0.3,No,No,No
1519,Clear,14.4,11.1,81,0,0,11.3,29.9,,No,No,No
2723,Mostly_Cloudy,22.2,17.2,73,20.4,70,14.5,30.1,,No,No,No
5805,Overcast,12.2,6.1,66,13,80,16.1,29.7,,No,No,No
2458,Overcast,13.3,2.8,49,11.1,0,16.1,30.2,,No,No,No
3665,Clear,10.6,-6.1,31,18.5,290,16.1,29.8,,No,No,No
7396,Light_Rain,5,2.8,86,20.4,60,4,30.1,0.8,No,Y,No
5291,Overcast,13.3,5.6,60,13,40,16.1,29.6,,No,No,No
5486,Overcast,17.2,14.4,84,0,0,12.9,30.1,,No,No,No
4300,Haze,28.9,17.2,49,5.6,0,9.7,30.1,,No,No,No
4431,Clear,7.8,-3.3,46,11.1,0,16.1,30.4,,No,No,No
4201,Overcast,2.2,-11.7,36,13,60,16.1,30.3,,No,No,No
8134,Clear,18.9,10,56,5.6,0,14.5,29.9,,No,No,No
877,Light_Freezing_Rain,0.6,-1.1,89,7.4,70,4,30.2,0,No,Y,No
3916,Light_Rain,5.6,3.9,89,18.5,90,4.8,29.8,0.5,No,Y,No
1052,Clear,4.4,-1.7,65,5.6,0,16.1,30.1,,No,No,No
2189,Mostly_Cloudy,3.3,-2.2,68,18.5,200,16.1,30.2,,No,No,No
3178,Clear,1.7,-16.7,25,9.3,0,16.1,30.4,,No,No,No
5999,Light_Rain,13.3,11.7,90,9.3,150,4.8,30,0.3,No,Y,No
3883,Overcast,9.4,3.9,69,9.3,0,14.5,30,,No,No,No
3675,Unknown,13,-2,36,,0,,,,No,No,No
6711,Clear,11.7,-2.8,37,9.3,0,16.1,30.2,,No,No,No
2596,Overcast,1.1,-7.2,54,11.1,0,16.1,29.8,,No,No,No
6759,Clear,12.2,1.7,49,0,0,16.1,29.8,,No,No,No
5233,Overcast,8.3,6.7,90,9.3,330,4.8,29.6,,No,No,No
2118,Overcast,6.7,-1.7,55,,0,16.1,29.9,,No,No,No
5804,Overcast,8.9,-1.7,48,37,290,16.1,29.7,,No,No,No
8068,Overcast,6.7,-1.7,55,9.3,0,16.1,29.9,,No,No,No
1636,Light_Snow,-0.6,-3.9,79,18.5,50,4,30.1,0,No,No,Y
7942,Overcast,13.9,8.9,72,0,0,11.3,29.9,,No,No,No
2761,Clear,3.3,-7.8,45,16.7,360,16.1,30,,No,No,No
4258,Clear,5,-17.2,19,7.4,0,16.1,30.3,,No,No,No
3441,Light_Rain,6.1,3.3,82,7.4,30,6.4,29.8,0.5,No,Y,No
549,Light_Rain,11.1,8.9,86,,0,4.8,29.8,0,No,Y,No
6535,Overcast,4.4,2.2,86,27.8,70,8,30.1,0.3,No,No,No
75,Clear,18.9,10,56,5.6,0,16.1,29.8,,No,No,No
185,Clear,2.8,-6.1,52,11.1,0,16.1,30.3,,No,No,No
8393,Light_Snow,-2.8,-10.6,56,11.1,0,4.8,30.1,0,No,No,Y
2351,Clear,11.1,1.1,50,13,240,16.1,29.8,,No,No,No
3398,Mostly_Cloudy,7.8,4.4,79,13,60,16.1,29.6,0,No,No,No
3570,Partly_Cloudy,26.1,16.7,56,14.8,170,11.3,30,,No,No,No
1539,Partly_Cloudy,2.2,-5,59,7.4,0,16.1,29.9,,No,No,No
4934,Partly_Cloudy,2.8,-2.2,70,5.6,0,16.1,29.8,,No,No,No
1310,Clear,22.8,15.6,64,9.3,0,14.5,30.1,,No,No,No
1760,Light_Rain,11.7,10.6,93,7.4,110,4.8,29.9,1.8,No,Y,No
2296,Clear,25.6,15.6,54,0,0,14.5,30.2,,No,No,No
230,Mostly_Cloudy,1.1,-9.4,46,9.3,0,16.1,30.1,,No,No,No
7934,Clear,6.1,-10,31,20.4,310,16.1,29.9,,No,No,No
545,Clear,8.9,-1.1,50,,0,16.1,29.9,,No,No,No
7476,Overcast,10.6,7.2,80,11.1,180,14.5,30.1,,No,No,No
4917,Clear,4.4,-17.8,19,7.4,0,16.1,30.5,,No,No,No
2186,Overcast,18.3,8.9,54,5.6,0,16.1,29.8,,No,No,No
6576,Clear,25,11.7,43,11.1,60,16.1,30.2,,No,No,No
1193,Clear,-1.1,-11.1,47,9.3,0,16.1,30.2,,No,No,No
1856,Clear,23.9,14.4,55,5.6,0,11.3,30.1,,No,No,No
7127,Clear,-9.4,-26.7,24,0,0,16.1,30.5,,No,No,No
1565,Overcast,11.7,3.9,59,5.6,0,16.1,29.2,,No,No,No
1266,Clear,-4.4,-16.7,38,25.9,300,16.1,30,,No,No,No
3021,Clear,21.7,13.3,59,9.3,0,16.1,30.1,,No,No,No
1087,Overcast,10,7.8,86,20.4,70,14.5,29.7,0,No,No,No
3593,Light_Rain,11.1,10,93,11.1,0,8,29.9,0.3,No,Y,No
8297,Clear,24.4,13.3,50,7.4,240,16.1,30.1,,No,No,No
7760,Clear,19.4,12.8,66,5.6,260,16.1,30.1,,No,No,No
1231,Clear,15,-0.6,35,16.7,250,16.1,29.8,,No,No,No
2643,Partly_Cloudy,2.2,-6.7,52,0,0,16.1,30.2,,No,No,No
4835,Clear,5,-1.7,62,5.6,0,16.1,30.1,,No,No,No
3690,Overcast,3.9,-1.7,67,7.4,0,16.1,30.2,,No,No,No
7208,Overcast,3.3,-1.7,70,,0,16.1,29.5,,No,No,No
4450,Overcast,12.2,5.6,64,13,90,16.1,29.7,,No,No,No
3993,Overcast,13.3,11.7,90,9.3,0,11.3,29.9,,No,No,No
1415,Overcast,4.4,2.8,89,22.2,70,3.2,30,0.3,No,No,No
4620,Clear,11.1,1.7,53,5.6,0,16.1,30.2,,No,No,No
7319,Overcast,11.7,-3.9,34,16.7,300,16.1,29.8,,No,No,No
3842,Partly_Cloudy,14.4,12.2,87,,0,16.1,29.8,0.3,No,No,No
4152,Clear,-17.8,-27.8,43,,0,16.1,30.5,,No,No,No
